# Kranji phonic partition - initial: p
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 263
U+77A5	瞥	piē	piē	piē(16)
U+7812	砒	pī	pī	
U+7830	砰	pēng	pēng	pēng(16)
U+7834	破	pò	pò	pò(605)
U+787C	硼	péng	péng	
U+78B0	碰	pèng	pèng	pèng(219)
U+78D0	磐	pán	pán	
U+78FB	磻	pán	pán	
U+7968	票	piào	piào	piào(175)
U+7A59	穙	pú	pú	
U+7B38	笸	pǒ	pǒ	
U+7B62	筢	pá	pá	
U+7BC7	篇	piān	piān	piān(203)
U+7BF7	篷	péng	péng	peng(23)
U+7C30	簰	pái	pái	
U+7C95	粕	pò	pò	
U+7EB0	纰	pī	pī	
U+7F25	缥	piāo	piāo	
U+7F74	罴	pí	pí	
U+7FE9	翩	piān	piān	
U+802A	耪	pǎng	pǎng	
U+8058	聘	pìn	pìn	
U+80D6	胖	pán,pàng	pàng	pàng(43)
U+80DA	胚	pēi	pēi	
U+80FC	胼	pián	pián	
U+812C	脬	pāo	pāo	
U+812F	脯	fǔ,pú	pú	pú(27)
U+813E	脾	pí	pí	pí(85)
U+81A8	膨	péng	péng	péng(44)
U+8225	舥	pā	pā	
U+8283	芃	péng	péng	
U+82C9	苉	pǐ	pǐ	
U+82E4	苤	piě	piě	
U+82F9	苹	píng	píng	píng(77)
U+8353	荓	píng	píng	
U+8386	莆	pú	pú	
U+83E9	菩	pú	pú	pú(18)
U+840D	萍	píng	píng	
U+8461	葡	pú	pú	pú(49)
U+8469	葩	pā	pā	
U+848E	蒎	pài	pài	
U+84B1	蒱	pú	pú	
U+84B2	蒲	pú	pú	
U+84EC	蓬	péng	péng	péng(24)
U+8508	蔈	piào	piào	
U+85B8	薸	piáo	piáo	
U+868D	蚍	pí	pí	
U+86B2	蚲	píng	píng	
U+8731	蜱	pí	pí	
U+8783	螃	páng	páng	
U+87B5	螵	piāo	piāo	
U+87DB	蟛	péng	péng	
U+87E0	蟠	pán	pán	
U+8843	衃	pēi	pēi	
U+888D	袍	páo	páo	páo(35)
U+88A2	袢	pàn	pàn	
U+88D2	裒	póu	póu	
U+88F4	裴	péi	péi	
U+897B	襻	pàn	pàn	
U+8B6C	譬	pì	pì	pì(42)
U+8BC4	评	píng	píng	píng(439)
U+8C1D	谝	piǎn	piǎn	
U+8C31	谱	pǔ	pǔ	
U+8C94	貔	pí	pí	
U+8D2B	贫	pín	pín	pín(115)
U+8D54	赔	péi	péi	péi(24)
U+8DB4	趴	pā	pā	pā(43)
U+8DD1	跑	páo,pǎo	pǎo	pǎo(986)
U+8E41	蹁	pián	pián	
U+8E52	蹒	pán	pán	
U+8E7C	蹼	pǔ	pǔ	
U+8F94	辔	pèi	pèi	
