# Kranji phonic partition - initial: k
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 229
U+787F	硿	kòng	kōng	
U+78D5	磕	kē	kē	kē(23)
U+78E1	磡	kàn	kàn	
U+79D1	科	kē	kē	kē(1462)
U+7A1E	稞	kē	kē	
U+7A7A	空	kōng,kòng	kōng	kōng(857) kòng(69)
U+7A9F	窟	kū	kū	kū(26)
U+7AA0	窠	kē	kē	
U+7AA5	窥	kuī	kuī	
U+7B50	筐	kuāng	kuāng	kuāng(49)
U+7B58	筘	kòu	kòu	
U+7B77	筷	kuài	kuài	kuài(41)
U+7B9C	箜	kōng	kōng	
U+7BD1	篑	kuì	kuì	
U+7CE0	糠	kāng	kāng	
U+7EA9	纩	kuàng	kuàng	
U+7ED4	绔	kù	kù	
U+7F02	缂	kè	kè	
U+8003	考	kǎo	kǎo	kǎo(334)
U+8069	聩	kuì	kuì	
U+80AF	肯	kěn	kěn	kěn(280)
U+80E9	胩	kǎ	kǎ	
U+80EF	胯	kuà	kuà	
U+810D	脍	kuài	kuài	
U+82A4	芤	kōu	kōu	
U+82DB	苛	kē	kē	
U+82E6	苦	kǔ	kǔ	kǔ(645)
U+83B0	莰	kǎn	kǎn	
U+8475	葵	kuí	kuí	kuí(16)
U+8488	蒈	kǎi	kǎi	
U+8489	蒉	kuì	kuì	
U+84AF	蒯	kuǎi	kuǎi	
U+853B	蔻	kòu	kòu	
U+86DE	蛞	kuò	kuò	
U+874C	蝌	kē	kē	kē(10)
U+8770	蝰	kuí	kuí	
U+884E	衎	kàn	kàn	
U+88C8	裈	kūn	kūn	
U+88C9	裉	kèn	kèn	
U+88E4	裤	kù	kù	kù(62)
U+8BD3	诓	kuāng	kuāng	
U+8BF3	诳	kuáng	kuáng	
U+8BFE	课	kè	kè	kè(341)
U+8D36	贶	kuàng	kuàng	
U+8DE8	跨	kuà	kuà	kuà(62)
U+8DEC	跬	kuǐ	kuǐ	
U+8F72	轲	kē	kē	
U+9035	逵	kuí	kuí	
U+909D	邝	kuàng	kuàng	
U+90D0	郐	kuài	kuài	
U+9177	酷	kù	kù	kù(38)
U+918C	醌	kūn	kūn	
U+94AA	钪	kàng	kàng	
U+94D0	铐	kào	kào	
U+94E0	铠	kǎi	kǎi	
U+94FF	铿	kēng	kēng	
