# Kranji phonic partition - initial: f
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 235
U+7FFB	翻	fān	fān	fān(369)
U+80A4	肤	fū	fū	fū(87)
U+80A5	肥	féi	féi	féi(162)
U+80AA	肪	fáng	fáng	fáng(10)
U+80BA	肺	fèi	fèi	fèi(52)
U+8150	腐	fǔ	fǔ	fǔ(87) fu(31)
U+8151	腑	fǔ	fǔ	
U+8153	腓	féi	féi	
U+8179	腹	fù	fù	fù(24)
U+822B	舫	fǎng	fǎng	
U+8299	芙	fú	fú	
U+82A3	芣	fú	fú	
U+82AC	芬	fēn	fēn	
U+82B3	芳	fāng	fāng	
U+82BE	芾	fèi,fú	fèi	
U+82FB	苻	fú	fú	
U+8300	茀	fú	fú	
U+8303	范	fàn	fàn	fàn(201)
U+832F	茯	fú	fú	
U+83A9	莩	fú	fú	
U+83D4	菔	fú	fú	
U+83F2	菲	fēi,fěi	fēi	
U+8451	葑	fēng	fēng	
U+85E9	藩	fān	fān	
U+8629	蘩	fán	fán	
U+8684	蚄	fāng	fāng	
U+86A8	蚨	fú	fú	
U+8702	蜂	fēng	fēng	fēng(96)
U+8709	蜉	fú	fú	
U+871A	蜚	fēi,fěi	fēi	
U+8760	蝠	fú	fú	fú(15)
U+876E	蝮	fù	fù	
U+88B1	袱	fú	fú	fu(42)
U+8986	覆	fù	fù	fù(27)
U+8BA3	讣	fù	fù	
U+8BBD	讽	fěng	fěng	fěng(14)
U+8BBF	访	fǎng	fǎng	fǎng(73)
U+8BFD	诽	fěi	fěi	
U+8C6E	豮	fén	fén	
U+8D1F	负	fù	fù	fù(322) fu(25)
U+8D29	贩	fàn	fàn	fàn(14)
U+8D39	费	fèi	fèi	fèi(305)
U+8D4B	赋	fù	fù	
U+8D57	赗	fèng	fèng	
U+8D59	赙	fù	fù	
U+8D74	赴	fù	fù	fù(12)
U+8DBA	趺	fū	fū	
U+8DD7	跗	fū	fū	
U+8E6F	蹯	fán	fán	
U+8F85	辅	fǔ	fǔ	fǔ(31)
U+8F90	辐	fú	fú	fú(31)
U+8FD4	返	fǎn	fǎn	fǎn(48)
U+9022	逢	féng	féng	féng(53)
U+90A1	邡	fāng	fāng	
U+90DB	郛	fú	fú	
U+911C	鄜	fū	fū	
U+9146	酆	fēng	fēng	
U+915A	酚	fēn	fēn	
U+91DC	釜	fǔ	fǔ	
U+9492	钒	fán	fán	
U+94AB	钫	fāng	fāng	
U+950B	锋	fēng	fēng	fēng(71)
U+9544	镄	fèi	fèi	
U+9600	阀	fá	fá	fá(48)
U+961C	阜	fù	fù	
U+9632	防	fáng	fáng	fáng(375)
U+9644	附	fù	fù	fù(148)
U+970F	霏	fēi	fēi	
U+975E	非	fēi	fēi	fēi(688)
U+97E8	韨	fú	fú	
U+98CE	风	fēng	fēng	fēng(1185)
U+98DE	飞	fēi	fēi	fēi(943)
U+996D	饭	fàn	fàn	fàn(557)
U+99A5	馥	fù	fù	
U+9A78	驸	fù	fù	
U+9C82	鲂	fáng	fáng	
U+9C8B	鲋	fù	fù	
U+9CB1	鲱	fēi	fēi	
U+9CBC	鲼	fèn	fèn	
U+9EB8	麸	fū	fū	
U+9EFB	黻	fú	fú	
U+9EFC	黼	fǔ	fǔ	
U+9F22	鼢	fén	fén	
U+23E23	𣸣	fén	fén	
U+2B4E7	𫓧	fū	fū	
U+2B50D	𫔍	fán	fán	
U+2B5AF	𫖯	fǔ	fǔ	
U+2CD02	𬴂	fēi	fēi	
U+2CE2A	𬸪	fán	fán	
