# Kranji phonic partition - initial: q
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 376
U+6B49	歉	qiàn	qiàn	qiàn(23)
U+6B67	歧	qí	qí	
U+6C0D	氍	qú	qú	
U+6C14	气	qì	qì	qì(2211) qi(348)
U+6C22	氢	qīng	qīng	qīng(13)
U+6C30	氰	qíng	qíng	
U+6C42	求	qiú	qiú	qiú(818)
U+6C54	汔	qì	qì	
U+6C67	汧	qiān	qiān	
U+6C7D	汽	qì	qì	qì(676)
U+6C81	沁	qìn	qìn	
U+6C8F	沏	qī	qī	qī(11)
U+6CC5	泅	qiú	qiú	
U+6CC9	泉	quán	quán	quán(47)
U+6CE3	泣	qì	qì	qì(14)
U+6D13	洓	qì	qì	
U+6D3D	洽	qià	qià	
U+6D45	浅	qiǎn	qiǎn	qiǎn(82)
U+6DC7	淇	qí	qí	
U+6E05	清	qīng	qīng	qīng(819)
U+6E20	渠	qú	qú	qú(91)
U+6EB1	溱	qín	qín	
U+6F06	漆	qī	qī	qī(78)
U+6F5C	潜	qián	qián	qián(38)
U+7048	灈	qú	qú	
U+7094	炔	quē	quē	
U+709D	炝	qiàng	qiàng	
U+7275	牵	qiān	qiān	qiān(97)
U+72AC	犬	quǎn	quǎn	quǎn(12)
U+72B0	犰	qiú	qiú	
U+7398	玘	qǐ	qǐ	
U+73B1	玱	qiāng	qiāng	
U+7403	球	qiú	qiú	qiú(458)
U+7426	琦	qí	qí	
U+742A	琪	qí	qí	
U+7434	琴	qín	qín	qín(59)
U+743C	琼	qióng	qióng	
U+7454	瑔	quán	quán	
U+7486	璆	qiú	qiú	
U+74A9	璩	qú	qú	
