# Kranji phonic partition - initial: s
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 196
U+878B	螋	sōu	sōu	
U+895A	襚	suì	suì	
U+89EB	觫	sù	sù	
U+8BBC	讼	sòng	sòng	sòng(27)
U+8BC9	诉	sù	sù	su(552) sù(43)
U+8BF5	诵	sòng	sòng	sòng(14)
U+8C07	谇	suì	suì	
U+8C21	谡	sù	sù	
U+8D5B	赛	sài	sài	sài(124)
U+8E5C	蹜	sù	sù	
U+9001	送	sòng	sòng	sòng(818)
U+901F	速	sù	sù	sù(668)
U+9042	遂	suí,suì	suì	
U+9083	邃	suì	suì	
U+9165	酥	sū	sū	
U+9178	酸	suān	suān	suān(102)
U+94EF	铯	sè	sè	
U+9501	锁	suǒ	suǒ	suǒ(68)
U+9536	锶	sī	sī	
U+953C	锼	sōu	sōu	
U+968B	隋	suí	suí	
U+968F	随	suí	suí	suí(599)
U+96A7	隧	suì	suì	suì(22)
U+96BC	隼	sǔn	sǔn	
U+9778	靸	sǎ	sǎ	
U+9882	颂	sòng	sòng	sòng(31)
U+98A1	颡	sǎng	sǎng	
U+98D2	飒	sà	sà	
U+98D4	飔	sī	sī	
U+98D5	飕	sōu	sōu	
U+98E7	飧	sūn	sūn	
U+9972	饲	sì	sì	sì(36)
U+998A	馊	sōu	sōu	
U+9993	馓	sǎn	sǎn	
U+9A77	驷	sì	sì	
U+9A95	骕	sù	sù	
U+9A9A	骚	sāo	sāo	
U+9AD3	髓	suǐ	suǐ	
U+9CC3	鳃	sāi	sāi	
U+9E36	鸶	sī	sī	
U+9E54	鹔	sù	sù	
U+2B5E7	𫗧	sù	sù	
U+2B7E6	𫟦	suì	suì	
U+2CB7C	𬭼	suì	suì	
