# Kranji phonic partition - initial: sh
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 341
U+6B8A	殊	shū	shū	shū(99)
U+6BB3	殳	shū	shū	
U+6BF9	毹	shū	shū	
U+6C0F	氏	shì,zhī	shì	shì(40)
U+6C34	水	shuǐ	shuǐ	shuǐ(2819)
U+6C55	汕	shàn	shàn	
U+6C88	沈	shěn	shěn	
U+6C99	沙	shā,shà	shā	shā(425)
U+6CAD	沭	shù	shù	
U+6D49	浉	shī	shī	
U+6D89	涉	shè	shè	shè(57)
U+6DAE	涮	shuàn	shuàn	
U+6DD1	淑	shū	shū	
U+6DF1	深	shēn	shēn	shēn(773)
U+6E17	渗	shèn	shèn	shèn(34)
U+6E5C	湜	shí	shí	
U+6E7F	湿	shī	shī	shī(170)
U+6EE0	滠	shè	shè	
U+6F31	漱	shù	shù	
U+6F72	潲	shào	shào	
U+6F78	潸	shān	shān	
U+6F8D	澍	shù	shù	
U+70BB	炻	shí	shí	
U+70C1	烁	shuò	shuò	shuò(29)
U+70E7	烧	shāo	shāo	shāo(397)
U+70FB	烻	shān	yàn	
U+715E	煞	shā,shà	shā	shā(17)
U+717D	煽	shān	shān	
U+719F	熟	shóu,shú	shú	shú(385)
U+71B5	熵	shāng	shāng	
U+71CA	燊	shēn	shēn	
U+723D	爽	shuǎng	shuǎng	shuǎng(35)
U+7272	牲	shēng	shēng	shēng(188)
U+72E9	狩	shòu	shòu	
U+72EE	狮	shī	shī	shī(21)
U+731E	猞	shē	shē	
U+73BF	玿	sháo	sháo	
U+73C5	珅	shēn	shēn	
U+73CA	珊	shān	shān	shān(16)
U+751A	甚	shèn	shèn	shén(3394) shèn(303)
U+751F	生	shēng	shēng	shēng(4790) sheng(1071)
U+7521	甡	shēn	shēn	
U+7525	甥	shēng	shēng	
U+7529	甩	shuǎi	shuǎi	shuǎi(48)
U+7533	申	shēn	shēn	shēn(20)
U+7572	畲	shē	shē	
U+758F	疏	shū	shū	shū(21)
U+759D	疝	shàn	shàn	
U+75E7	痧	shā	shā	
U+7606	瘆	shèn	shèn	
U+7626	瘦	shòu	shòu	shòu(82)
U+76DB	盛	chéng,shèng	shèng	shèng(54) chéng(43)
U+7701	省	shěng,xǐng	shěng	shěng(409)
U+771A	眚	shěng	shěng	
U+7744	睄	shào	shào	
U+7761	睡	shuì	shuì	shuì(672)
U+77AB	瞫	shěn	shěn	
U+77AC	瞬	shùn	shùn	
U+77E2	矢	shǐ	shǐ	
U+77E7	矧	shěn	shěn	
U+77F3	石	dàn,shí	shí	shí(1006)
U+7802	砂	shā	shā	shā(33)
U+7837	砷	shēn	shēn	
U+7855	硕	shuò	shuò	
U+7935	礵	shuāng	shuāng	
U+793A	示	shì	shì	shì(509)
U+793E	社	shè	shè	shè(2459)
U+794F	祏	shí	shí	
U+795E	神	shén	shén	shén(846) shen(30)
U+79EB	秫	shú	shú	
U+7A0D	稍	shāo,shào	shāo	shāo(118)
U+7A0E	税	shuì	shuì	shuì(23)
U+7AD6	竖	shù	shù	shù(30)
U+7B19	笙	shēng	shēng	
U+7B5B	筛	shāi	shāi	shāi(12)
U+7B6E	筮	shì	shì	
U+7B72	筲	shāo	shāo	
U+7EB1	纱	shā	shā	shā(78)
U+7EBE	纾	shū	shū	
U+7EC5	绅	shēn	shēn	shēn(16)
U+7ECD	绍	shào	shào	shào(156)
U+7EF1	绱	shàng	shàng	
U+7EF3	绳	shéng	shéng	shéng(110) sheng(17)
U+7EF6	绶	shòu	shòu	
U+7F2E	缮	shàn	shàn	
U+7F72	署	shǔ	shǔ	shǔ(27)
U+800D	耍	shuǎ	shuǎ	shuǎ(29)
U+80BE	肾	shèn	shèn	
U+80C2	胂	shèn	shèn	
U+80DC	胜	shèng	shèng	shèng(745)
U+8167	腧	shù	shù	
U+8168	腨	shuàn	shuàn	
U+81B3	膳	shàn	shàn	
U+81BB	膻	dàn,shān	shān	
U+820C	舌	shé	shé	shé(59)
U+820D	舍	shě,shè	shě	shě(62) shè(41)
U+8210	舐	shì	shì	
U+8212	舒	shū	shū	shū(143)
U+821C	舜	shùn	shùn	
U+8222	舢	shān	shān	
U+8244	艄	shāo	shāo	
U+824F	艏	shǒu	shǒu	
U+828D	芍	sháo	sháo	
U+829F	芟	shān	shān	
U+82D5	苕	sháo	sháo	
U+82EB	苫	shān,shàn	shān	
U+838E	莎	shā,suō	shā	
U+8398	莘	shēn,xīn	shēn	
U+83B3	莳	shí,shì	shí	
U+83FD	菽	shū	shū	
U+84B4	蒴	shuò	shuò	
U+84CD	蓍	shī	shī	
U+852C	蔬	shū	shū	shū(33)
U+85AF	薯	shǔ	shǔ	shǔ(13)
U+8671	虱	shī	shī	
U+8680	蚀	shí	shí	shí(67)
U+86C7	蛇	shé	shé	shé(68)
U+86F8	蛸	shāo,xiāo	shāo	
U+8700	蜀	shǔ	shǔ	
U+8703	蜃	shèn	shèn	
U+87AB	螫	shì	shì	
U+87C0	蟀	shuài	shuài	shuài(23)
U+87EE	蟮	shàn	shàn	
U+886B	衫	shān	shān	shān(26)
U+8870	衰	shuāi	shuāi	shuāi(19)
U+88DF	裟	shā	shā	
U+88F3	裳	shang	shang	shang(56)
U+896B	襫	shì	shì	
U+89C6	视	shì	shì	shì(409) shi(12)
U+89DE	觞	shāng	shāng	
U+8A93	誓	shì	shì	shì(25)
U+8BAA	讪	shàn	shàn	
U+8BBE	设	shè	shè	shè(1097)
U+8BC6	识	shí,zhì	shí	shi(908) shí(267)
U+8BD5	试	shì	shì	shì(374)
U+8BD7	诗	shī	shī	shī(152)
U+8BDC	诜	shēn	shēn	
U+8BF4	说	shuì,shuō	shuō	shuō(10245)
U+8C01	谁	shéi,shuí	shéi	shuí(1065)
U+8C02	谂	shěn	shěn	
U+8C25	谥	shì	shì	
U+8C55	豕	shǐ	shǐ	
U+8D33	贳	shì	shì	
U+8D4A	赊	shē	shē	
U+8D4E	赎	shú	shú	
U+8D4F	赏	shǎng	shǎng	shǎng(58)
