# Kranji phonic partition - initial: l
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 578
U+63A0	掠	lüè	lüè	lüè(62)
U+63B3	掳	lǔ	lǔ	
U+63FD	揽	lǎn	lǎn	
U+6402	搂	lōu,lǒu	lǒu	lǒu(25)
U+645E	摞	luò	luò	
U+6482	撂	liào	liào	liào(12)
U+64A9	撩	liāo,liáo	liāo	liāo(15)
U+64B8	撸	lū	lū	
U+64C2	擂	léi,lèi	léi	
U+655B	敛	liǎn	liǎn	
U+6593	斓	lán	lán	
U+6599	料	liào	liào	liào(980)
U+65C5	旅	lǚ	lǚ	lǚ(139)
U+65D2	旒	liú	liú	
U+65EF	旯	lá	lá	
U+6624	昤	líng	líng	
U+663D	昽	lóng	lóng	
U+667E	晾	liàng	liàng	liàng(12)
U+6717	朗	lǎng	lǎng	lǎng(56)
U+6738	朸	lì	lì	
U+674E	李	lǐ	lǐ	li(36)
U+6765	来	lái	lái	lái(14549)
U+6797	林	lín	lín	lín(341)
U+67A5	枥	lì	lì	
U+67C3	柃	líng	líng	
U+67F3	柳	liǔ	liǔ	liǔ(49)
U+680A	栊	lóng	lóng	
U+680C	栌	lú	lú	
U+680E	栎	lì,yuè	lì	
U+680F	栏	lán	lán	lán(44)
U+6817	栗	lì	lì	
U+6833	栳	lǎo	lǎo	
U+683E	栾	luán	luán	
U+6879	桹	láng	láng	
U+6881	梁	liáng	liáng	liáng(95) liang(73)
U+68A0	梠	lǚ	lǚ	
U+68A8	梨	lí	lí	lí(14)
U+68BE	梾	lái	lái	
U+68BF	梿	lián	lián	
U+68C2	棂	líng	líng	
U+68F1	棱	lēng,léng,líng	léng	
U+690B	椋	liáng	liáng	
U+6924	椤	luó	luó	
U+695D	楝	liàn	liàn	
U+695E	楞	léng	léng	
U+697C	楼	lóu	lóu	lóu(179)
U+6984	榄	lǎn	lǎn	
U+6988	榈	lǘ	lǘ	
U+6994	榔	láng	láng	
U+69B4	榴	liú	liú	liú(62)
U+6A51	橑	liáo	liáo	
U+6A79	橹	lǔ	lǔ	
U+6A91	檑	léi	léi	
U+6AA9	檩	lǐn	lǐn	
U+6B93	殓	liàn	liàn	
U+6C07	氇	lu	lu	
U+6C2F	氯	lǜ	lǜ	
U+6CA5	沥	lì	lì	lì(28)
U+6CA6	沦	lún	lún	
U+6CD0	泐	lè	lè	
U+6CE0	泠	líng	líng	
U+6CEA	泪	lèi	lèi	lèi(233)
U+6CF7	泷	lóng,shuāng	lóng	
U+6CF8	泸	lú	lú	
U+6CFA	泺	luò	luò	
U+6D0C	洌	liè	liè	
U+6D1B	洛	luò	luò	
U+6D41	流	liú	liú	liú(1162)
U+6D4F	浏	liú	liú	
U+6D6A	浪	làng	làng	làng(259)
U+6D6C	浬	lǐ	lǐ	
U+6D70	浰	lì,liàn	liàn	
U+6D9D	涝	lào	lào	
U+6D9E	涞	lái	lái	
U+6D9F	涟	lián	lián	
U+6DCB	淋	lín,lìn	lín	lín(40)
U+6E0C	渌	lù	lù	
U+6E87	溇	lóu	lóu	
U+6E9C	溜	liū,liù	liū	liū(48)
U+6EA7	溧	lì	lì	
U+6EE4	滤	lǜ	lǜ	
U+6EE5	滥	làn	làn	làn(18)
U+6EE6	滦	luán	luán	
U+6F09	漉	lù	lù	
U+6F0B	漋	lóng	lóng	
U+6F0F	漏	lòu	lòu	lòu(68)
U+6F13	漓	lí	lí	
U+6F24	漤	lǎn	lǎn	
U+6F2F	漯	luò	luò	
U+6F3B	漻	liáo	liáo	
U+6F4B	潋	liàn	liàn	
U+6F5E	潞	lù	lù	
U+6F66	潦	liáo	liáo	
U+6F7E	潾	lín	lín	
U+6F9B	澛	lǔ	lǔ	
U+6F9C	澜	lán	lán	
U+6FA7	澧	lǐ	lǐ	
U+6FAA	澪	líng	líng	
U+6FC2	濂	lián	lián	
U+6FD1	濑	lài	lài	
U+7075	灵	líng	líng	líng(170) ling(15)
U+7089	炉	lú	lú	lú(177)
U+70BC	炼	liàn	liàn	liàn(256)
U+70C2	烂	làn	làn	làn(126)
U+70C8	烈	liè	liè	liè(428)
U+70D9	烙	lào,luò	lào	
U+70FA	烺	lǎng	lǎng	
U+7198	熘	liū	liū	
U+71CE	燎	liáo,liǎo	liáo	
U+7262	牢	láo	láo	láo(62)
U+7281	犁	lí	lí	lí(10)
U+72F8	狸	lí	lí	li(18)
U+72FC	狼	láng	láng	láng(88)
U+7301	猁	lì	lì	
U+730E	猎	liè	liè	liè(72)
U+7321	猡	luó	luó	
U+7360	獠	liáo	liáo	
U+7387	率	lǜ,shuài	lǜ	lǜ(173) shuài(58)
U+73B2	玲	líng	líng	líng(10)
U+73CB	珋	liǔ	liǔ	
U+73D1	珑	lóng	lóng	lóng(10)
U+73D5	珕	lì	lì	
U+73DE	珞	luò	luò	
U+7405	琅	láng	láng	
U+7406	理	lǐ	lǐ	lǐ(2282) li(140)
U+7409	琉	liú	liú	
U+740F	琏	liǎn	liǎn	
U+742D	琭	lù	lù	
U+7433	琳	lín	lín	
U+7453	瑓	liàn	liàn	
U+746C	瑬	liú	liú	
U+7483	璃	lí	lí	lí(213)
U+7490	璐	lù	lù	
U+7498	璘	lín	lín	
U+74F4	瓴	líng	líng	
U+752A	甪	lù	lù	
U+7559	留	liú	liú	liú(484)
U+7565	略	lüè	lüè	lüè(445)
U+7581	疁	liú	liú	
U+7597	疗	liáo	liáo	liáo(85)
U+75A0	疠	lì	lì	
U+75AC	疬	lì	lì	
U+75E2	痢	lì	lì	
U+75E8	痨	láo	láo	
U+760C	瘌	là	là	
U+7618	瘘	lòu	lòu	
U+7624	瘤	liú	liú	
U+7630	瘰	luǒ	luǒ	
U+7643	癃	lóng	lóng	
U+7657	癗	lěi	lěi	
U+765E	癞	lài	lài	
U+772C	眬	lóng	lóng	
U+7750	睐	lài	lài	
U+77AD	瞭	liào	liào	liǎo(326) liào(19)
U+77B5	瞵	lín	lín	
U+782C	砬	lá	lá	
U+783A	砺	lì	lì	
U+783B	砻	lóng	lóng	
U+783E	砾	lì	lì	lì(10)
U+786B	硫	liú	liú	liú(35)
U+788C	碌	liù,lù	lù	lù(17)
U+78CA	磊	lěi	lěi	lěi(9)
U+78F7	磷	lín	lín	lín(27)
U+790C	礌	léi	léi	
U+793C	礼	lǐ	lǐ	lǐ(114)
U+797E	祾	líng	líng	
U+7984	禄	lù	lù	
U+79BB	离	lí	lí	lí(790)
U+7A02	稂	láng	láng	
U+7A06	稆	lǚ	lǚ	
U+7A11	稑	lù	lù	
U+7ABF	窿	lóng	lóng	long(26)
U+7ACB	立	lì	lì	lì(1565)
U+7B20	笠	lì	lì	
U+7B3C	笼	lóng,lǒng	lóng	lóng(39) long(34) lǒng(23)
U+7B64	筤	láng	láng	
U+7B93	箓	lù	lù	
U+7B96	箖	lín	lín	
U+7BA9	箩	luó	luó	luó(9)
U+7BD3	篓	lǒu	lǒu	
U+7BE5	篥	lì	lì	
U+7BEE	篮	lán	lán	lán(74)
U+7BF1	篱	lí	lí	lí(15)
U+7C0F	簏	lù	lù	
U+7C15	簕	lè	lè	
U+7C1D	簝	liáo	liáo	
U+7C41	籁	lài	lài	
U+7C7B	类	lèi	lèi	lèi(792)
U+7C92	粒	lì	lì	lì(103)
U+7C9D	粝	lì	lì	
U+7CAE	粮	liáng	liáng	liáng(280)
U+7CB1	粱	liáng	liáng	
U+7CBC	粼	lín	lín	
U+7D2F	累	léi,lěi,lèi	lèi	lèi(111) lěi(54)
U+7EB6	纶	guān,lún	lún	lún(48)
U+7EC3	练	liàn	liàn	liàn(245)
U+7EDC	络	lào,luò	luò	luò(27)
U+7EEB	绫	líng	líng	
U+7EFA	绺	liǔ	liǔ	
U+7EFF	绿	lù,lǜ	lǜ	lǜ(220)
U+7F06	缆	lǎn	lǎn	
U+7F15	缕	lǚ	lǚ	lǚ(18)
U+7F21	缡	lí	lí	
U+7F27	缧	léi	léi	
U+7F2D	缭	liáo	liáo	
U+7F4D	罍	léi	léi	
U+7F57	罗	luó	luó	
U+7F71	罱	lǎn	lǎn	
U+7F76	罶	liǔ	liǔ	
U+7F79	罹	lí	lí	
U+7F9A	羚	líng	líng	
U+7FB8	羸	léi	léi	
U+7FCE	翎	líng	líng	
U+7FF7	翷	lín	lín	
U+8001	老	lǎo	lǎo	lǎo(3598)
U+8012	耒	lěi	lěi	
U+8022	耢	lào	lào	
U+8027	耧	lóu	lóu	
U+8046	聆	líng	líng	
U+804A	聊	liáo	liáo	liáo(29)
U+804B	聋	lóng	lóng	
U+8054	联	lián	lián	lián(578)
U+808B	肋	lèi	lèi	
U+80E7	胧	lóng	lóng	lóng(32)
U+80EA	胪	lú	lú	
U+8114	脔	luán	luán	
U+811F	脟	liè	liè	
U+8136	脶	luó	luó	
U+8138	脸	liǎn	liǎn	liǎn(930)
U+814A	腊	là	là	
U+8182	膂	lǚ	lǚ	
U+81A6	膦	lìn	lìn	
U+8232	舲	líng	líng	
U+823B	舻	lú	lú	
U+826F	良	liáng	liáng	liáng(198)
U+82A6	芦	lú,lǔ	lú	lú(46) lu(28)
U+82C8	苈	lì	lì	
U+82D3	苓	líng	líng	
U+830F	茏	lóng	lóng	
U+8354	荔	lì	lì	lì(28)
U+8356	荖	lǎo	lǎo	
U+8366	荦	luò	luò	
U+8385	莅	lì	lì	
U+8389	莉	lì	lì	
U+83A8	莨	làng,liáng	làng	
U+83B1	莱	lái	lái	
U+83B2	莲	lián	lián	
U+83C9	菉	lù	lù	
U+83F1	菱	líng	líng	
U+841D	萝	luó	luó	luó(25)
U+843D	落	là,lào,luò	luò	luò(516) là(11)
U+844E	葎	lǜ	lǜ	
U+848C	蒌	lóu	lóu	
U+8497	蒗	làng	làng	
U+84CF	蓏	luǒ	luǒ	
U+84DD	蓝	lán	lán	lán(126)
U+84E0	蓠	lí	lí	
U+84E2	蓢	lǎng	lǎng	
U+84FC	蓼	liǎo	liǎo	
U+8539	蔹	liǎn	liǎn	
U+853A	蔺	lìn	lìn	
U+8557	蕗	lù	lù	
U+857E	蕾	lěi	lěi	
U+85DC	藜	lí	lí	
U+85DF	藟	lěi	lěi	
U+864F	虏	lǔ	lǔ	lǔ(31)
U+8651	虑	lǜ	lǜ	lǜ(125)
U+86C9	蛉	líng	líng	
U+86CE	蛎	lì	lì	
U+870A	蜊	lí	lí	
U+8721	蜡	là	là	là(40)
U+8772	蝲	là	là	
U+877C	蝼	lóu	lóu	
U+8782	螂	láng	láng	
U+87BA	螺	luó	luó	
U+8803	蠃	luǒ	luǒ	
U+880A	蠊	lián	lián	
U+8821	蠡	lí,lǐ	lí	
U+88C2	裂	liè	liè	liè(67)
U+88E2	裢	lián	lián	
U+88E3	裣	liǎn	liǎn	
U+88F8	裸	luǒ	luǒ	
U+891B	褛	lǚ	lǚ	
U+8934	褴	lán	lán	
U+8955	襕	lán	lán	
U+89C8	览	lǎn	lǎn	lǎn(48)
U+8A48	詈	lì	lì	
U+8BBA	论	lún,lùn	lùn	lùn(1472)
U+8BD4	诔	lěi	lěi	
U+8C05	谅	liàng	liàng	liàng(46)
U+8C30	谰	lán	lán	
U+8D41	赁	lìn	lìn	
U+8D42	赂	lù	lù	
U+8D49	赉	lài	lài	
U+8D56	赖	lài	lài	lài(28)
U+8D94	趔	liè	liè	
U+8DDE	跞	lì	lì	
U+8DEF	路	lù	lù	lù(1987)
U+8E09	踉	liàng	liàng	
U+8E7D	蹽	liāo	liāo	
U+8E8F	躏	lìn	lìn	
U+8E90	躐	liè	liè	
U+8F6E	轮	lún	lún	lún(222)
U+8F73	轳	lú	lú	
U+8F79	轹	lì	lì	
U+8F82	辂	lù	lù	
U+8F86	辆	liàng	liàng	liàng(178)
U+8F8C	辌	liáng	liáng	
U+8F98	辘	lù	lù	
U+8F9A	辚	lín	lín	
U+8FA3	辣	là	là	là(25)
U+8FBD	辽	liáo	liáo	liáo(32)
U+8FDE	连	lián	lián	lián(1073)
U+9026	逦	lǐ	lǐ	
U+902F	逯	lù	lù	
U+903B	逻	luó	luó	luó(24)
U+905B	遛	liù	liù	
U+9074	遴	lín	lín	
U+908B	邋	lā	lā	
U+90BB	邻	lín	lín	lín(35)
U+90CE	郎	láng,làng	láng	
U+90E6	郦	lì	lì	
U+9143	酃	líng	líng	
U+916A	酪	lào	lào	
U+9179	酹	lèi	lèi	
U+91A8	醨	lí	lí	
U+91AA	醪	láo	láo	
U+91B4	醴	lǐ	lǐ	
U+91CC	里	lǐ	lǐ	lǐ(8067) li(754)
U+91CF	量	liáng,liàng	liàng	liàng(1265) liang(433) liáng(208)
U+92AE	銮	luán	luán	
U+938F	鎏	liú	liú	
U+948C	钌	liǎo,liào	liǎo	
U+94C3	铃	líng	líng	líng(85)
U+94D1	铑	lǎo	lǎo	
U+94DD	铝	lǚ	lǚ	lǚ(42)
U+94F9	铹	láo	láo	
U+94FC	铼	lái	lái	
U+94FE	链	liàn	liàn	liàn(9)
U+9502	锂	lǐ	lǐ	
U+950A	锊	lüè	lüè	
U+950D	锍	liǔ	liǔ	
U+9512	锒	láng	láng	
U+9523	锣	luó	luó	luó(28)
U+9542	镂	lòu	lòu	
U+954F	镏	liú,liù	liú	
U+9560	镠	liú	liú	
U+9563	镣	liào	liào	
U+9565	镥	lǔ	lǔ	
U+9567	镧	lán	lán	
U+956D	镭	léi	léi	
U+9570	镰	lián	lián	lián(14)
U+9574	镴	là	là	
U+95FE	闾	lǘ	lǘ	
U+9606	阆	làng	làng	
U+9611	阑	lán	lán	
U+9646	陆	liù,lù	lù	lù(202)
U+9647	陇	lǒng	lǒng	
U+964B	陋	lòu	lòu	lòu(9)
U+9675	陵	líng	líng	líng(31)
U+9686	隆	lóng	lóng	lóng(46) lōng(10)
U+96B6	隶	lì	lì	lì(73)
U+96D2	雒	luò	luò	
U+96F3	雳	lì	lì	
U+96F6	零	líng	líng	líng(211)
U+96F7	雷	léi	léi	léi(91)
U+9716	霖	lín	lín	
U+9732	露	lòu,lù	lù	lù(241)
U+97A1	鞡	la	la	
U+9885	颅	lú	lú	
U+9886	领	lǐng	lǐng	lǐng(1527)
U+98D7	飗	liú	liú	
U+9979	饹	gē,le	le	
U+998F	馏	liú,liù	liú	
U+9A74	驴	lǘ	lǘ	lǘ(56)
U+9A86	骆	luò	luò	luò(116)
U+9A8A	骊	lí	lí	
U+9A9D	骝	liú	liú	
U+9AA1	骡	luó	luó	luó(21)
U+9AC5	髅	lóu	lóu	
U+9ACE	髎	liáo	liáo	
U+9B23	鬣	liè	liè	
U+9B49	魉	liǎng	liǎng	
U+9C81	鲁	lǔ	lǔ	
U+9C88	鲈	lú	lú	
U+9CA1	鲡	lí	lí	
U+9CA2	鲢	lián	lián	
U+9CA4	鲤	lǐ	lǐ	lǐ(12)
U+9CAE	鲮	líng	líng	
U+9CD3	鳓	lè	lè	
U+9CDE	鳞	lín	lín	
U+9CE2	鳢	lǐ	lǐ	
U+9E2C	鸬	lú	lú	
U+9E30	鸰	líng	líng	
U+9E3E	鸾	luán	luán	
U+9E42	鹂	lí	lí	lí(14)
U+9E60	鹠	liú	liú	
U+9E68	鹨	liù	liù	
U+9E69	鹩	liáo	liáo	
U+9E6D	鹭	lù	lù	
U+9E7F	鹿	lù	lù	lù(10)
U+9E93	麓	lù	lù	
U+9E9F	麟	lín	lín	
U+9ECE	黎	lí	lí	lí(30)
U+9EE7	黧	lí	lí	
U+9F84	龄	líng	líng	líng(43)
U+9F99	龙	lóng	lóng	lóng(76)
U+2677C	𦝼	lóu,lǘ	lǘ	
U+2A8FB	𪣻	lóu	lóu	
U+2A917	𪤗	liào	liào	
U+2B627	𫘧	lù	lù	
U+2B6AD	𫚭	liè	liè	
U+2B7C5	𫟅	liáng	liáng	
U+2BB62	𫭢	lǔn	lǔn	
U+2BB7C	𫭼	láo	láo	
U+2BD77	𫵷	lì	lì	
U+2C35B	𬍛	lì	lì	
U+2C497	𬒗	lán	lán	
U+2C542	𬕂	lǒng	lǒng	
U+2C72F	𬜯	liǎng	liǎng	
U+2CB2D	𬬭	lún	lún	
U+2CB3B	𬬻	lú	lú	
U+2CB78	𬭸	lín	lín	
U+2CD0A	𬴊	lín	lín	
U+2CD9F	𬶟	là	là	
U+2CDA0	𬶠	liàn	liàn	
