# Kranji phonic partition - initial: t
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 342
U+6D82	涂	tú	tú	tu(116) tú(59)
U+6D95	涕	tì	tì	tì(14)
U+6D9B	涛	tāo	tāo	tāo(21)
U+6DCC	淌	tǎng	tǎng	tǎng(22)
U+6DD8	淘	táo	táo	táo(33)
U+6DDF	淟	tiǎn	tiǎn	
U+6DFB	添	tiān	tiān	tiān(103)
U+6E1F	渟	tíng	tíng	
U+6E49	湉	tián	tián	
U+6E4D	湍	tuān	tuān	
U+6E8F	溏	táng	táng	
U+6EBB	溻	tā	tā	
U+6ED4	滔	tāo	tāo	tāo(20)
U+6ED5	滕	téng	téng	
U+6EE9	滩	tān	tān	tān(62)
U+6F6D	潭	tán	tán	tán(29)
U+6F7C	潼	tóng	tóng	
U+70AD	炭	tàn	tàn	tàn(73)
U+70B1	炱	tái	tái	
U+70C3	烃	tīng	tīng	
U+70D4	烔	tóng	tóng	
U+70EB	烫	tàng	tàng	tàng(30)
U+70F6	烶	tǐng	tǐng	
U+7118	焘	tāo	tāo	
U+711E	焞	tūn	tūn	
U+7153	煓	tuān	tuān	
U+717A	煺	tuì	tuì	
U+71A5	熥	tēng	tēng	
U+7279	特	tè	tè	tè(1099)
U+732F	猯	tuān	tuān	
U+736D	獭	tǎ	tǎ	
U+73FD	珽	tǐng	tǐng	
U+7445	瑅	tí	tí	
U+746D	瑭	táng	táng	
U+7471	瑱	tiàn	tiàn	
U+74AE	璮	tǎn	tǎn	
U+751C	甜	tián	tián	tián(75)
U+7530	田	tián	tián	tián(336)
U+754B	畋	tián	tián	
U+7583	疃	tuǎn	tuǎn	
U+75BC	疼	téng	téng	téng(127)
U+75DB	痛	tòng	tòng	tòng(356)
U+75F0	痰	tán	tán	tán(11)
U+762B	瘫	tān	tān	
U+76F7	盷	tián	tián	
U+773A	眺	tiào	tiào	tiào(11)
U+77B3	瞳	tóng	tóng	
U+7823	砣	tuó	tuó	
U+783C	砼	tóng	tóng	
U+78B3	碳	tàn	tàn	tàn(55)
U+78F9	磹	tán	tán	
U+7967	祧	tiāo	tiāo	
U+79C3	秃	tū	tū	tū(13)
U+7A0C	稌	tú	tú	
U+7A5C	穜	tóng	tóng	
U+7A81	突	tū	tū	tū(474)
U+7A95	窕	tiǎo	tiǎo	
U+7AE5	童	tóng	tóng	tóng(55)
U+7B24	笤	tiáo	tiáo	
U+7B52	筒	tǒng	tǒng	tǒng(45)
U+7BA8	箨	tuò	tuò	
U+7C9C	粜	tiào	tiào	tiào(18)
U+7CD6	糖	táng	táng	táng(97)
U+7E22	縢	téng	téng	
U+7EDF	统	tǒng	tǒng	tǒng(959)
U+7EE6	绦	tāo	tāo	
U+7EE8	绨	tì	tí	
U+7EF9	绹	táo	táo	
U+7F07	缇	tí	tí	
U+7FB0	羰	tāng	tāng	
U+8025	耥	tāng	tāng	
U+80BD	肽	tài	tài	
U+80CE	胎	tāi	tāi	tāi(38)
U+8131	脱	tuō	tuō	tuō(239)
U+8146	腆	tiǎn	tiǎn	
U+816F	腯	tú	tú	
U+817E	腾	téng	téng	téng(91) teng(28)
U+817F	腿	tuǐ	tuǐ	tuǐ(263)
U+819B	膛	táng	táng	táng(29)
U+81C0	臀	tún	tún	
U+8214	舔	tiǎn	tiǎn	tiǎn(16)
U+8247	艇	tǐng	tǐng	tǐng(22)
U+82D4	苔	tāi,tái	tái	
U+833C	茼	tóng	tóng	
U+8351	荑	tí,yí	tí	
U+837C	荼	tú	tú	
U+839B	莛	tíng	tíng	
U+83DF	菟	tù	tù	
U+83FC	菼	tǎn	tǎn	
U+8404	萄	táo	táo	táo(49)
U+841A	萚	tuò	tuò	
U+841C	萜	tiē	tiē	
U+8456	葖	tū	tū	
U+8476	葶	tíng	tíng	
U+85B9	薹	tái	tái	
U+85E4	藤	téng	téng	téng(14)
U+8713	蜓	tíng	tíng	tíng(21)
U+8715	蜕	tuì	tuì	
U+8729	蜩	tiáo	tiáo	
U+8797	螗	táng	táng	
U+87A3	螣	téng	téng	
U+87B3	螳	táng	táng	
U+8892	袒	tǎn	tǎn	
U+88FC	裼	tì,xī	tì	
U+891F	褟	tā	tā	
U+892A	褪	tuì,tùn	tuì	
U+8983	覃	qín,tán	tán	
U+8A8A	誊	téng	téng	
U+8BA8	讨	tǎo	tǎo	tǎo(278)
U+8C08	谈	tán	tán	tán(693)
U+8C2D	谭	tán	tán	
U+8C5A	豚	tún	tún	
U+8D2A	贪	tān	tān	tān(30)
U+8D34	贴	tiē	tiē	tiē(124)
U+8D9F	趟	tàng	tàng	tàng(89)
U+8DAF	趯	tì	tì	
U+8DBF	趿	tā	tā	
U+8DC6	跆	tái	tái	
U+8DCE	跎	tuó	tuó	
U+8DF3	跳	tiào	tiào	tiào(470)
U+8E0F	踏	tā,tà	tà	tà(122) tā(10)
U+8E22	踢	tī	tī	tī(50)
U+8E44	蹄	tí	tí	tí(15)
U+8E4B	蹋	tà	tà	tà(13)
U+8E5A	蹚	tāng	tāng	
U+8EBA	躺	tǎng	tǎng	tǎng(198)
U+8FE2	迢	tiáo	tiáo	
U+9000	退	tuì	tuì	tuì(254)
U+9003	逃	táo	táo	táo(164)
U+900F	透	tòu	tòu	tòu(316)
U+9014	途	tú	tú	tú(178)
U+9016	逖	tì	tì	
U+901A	通	tōng,tòng	tōng	tōng(1126) tòng(16)
U+9046	遆	tí	tí	
U+9062	遢	tā	ta	
U+90B0	邰	tái	tái	
U+90EF	郯	tán	tán	
U+910C	鄌	táng	táng	
U+915E	酞	tài	tài	
U+9161	酡	tuó	tuó	
U+916E	酮	tóng	tóng	
U+9174	酴	tú	tú	
U+918D	醍	tí	tí	
U+948D	钍	tǔ	tǔ	
U+949B	钛	tài	tài	
U+94BD	钽	tǎn	tǎn	
U+94C1	铁	tiě	tiě	tiě(734)
U+94CA	铊	tā,tuó	tā	
U+94DC	铜	tóng	tóng	tóng(129)
U+94E4	铤	tǐng	tǐng	
U+94F4	铴	tāng	tāng	
U+94FD	铽	tè	tè	
U+9511	锑	tī	tī	
U+952C	锬	tán	tán	
U+954B	镋	tǎng	tǎng	
U+9557	镗	tāng,táng	tāng	
U+95FC	闼	tà	tà	
U+9617	阗	tián	tián	
U+9618	阘	tà	tà	
U+9640	陀	tuó	tuó	
U+9676	陶	táo	táo	táo(23)
U+9706	霆	tíng	tíng	
U+97B3	鞳	tà	tà	
U+97EC	韬	tāo	tāo	
U+988B	颋	tǐng	tǐng	
U+9893	颓	tuí	tuí	
U+9898	题	tí	tí	tí(1649)
U+992E	餮	tiè	tiè	
U+9955	饕	tāo	tāo	
U+9968	饨	tún	tún	
U+9A6E	驮	duò,tuó	tuó	tuó(27)
U+9A7C	驼	tuó	tuó	tuo(116) tuó(25)
U+9AB0	骰	tóu	tóu	
U+9AEB	髫	tiáo	tiáo	
U+9B4B	魋	tuí	tuí	
U+9C80	鲀	tún	tún	
U+9C90	鲐	tái	tái	
U+9C96	鲖	tóng	tóng	
U+9CA6	鲦	tiáo	tiáo	
U+9CC0	鳀	tí	tí	
U+9CCE	鳎	tǎ	tǎ	
U+9E35	鸵	tuó	tuó	
U+9E48	鹈	tí	tí	
U+9EC7	黇	tiān	tiān	
U+9F0D	鼍	tuó	tuó	
U+9F17	鼗	táo	táo	
U+9F86	龆	tiáo	tiáo	
U+9FCE	鿎	dá,tǎ	tǎ	
U+2648D	𦒍	tóng	tóng	
U+2B363	𫍣	tóng	tóng	
U+2B626	𫘦	táo	táo	
U+2B628	𫘨	tí	tí	
U+2C629	𬘩	tīng	tīng	
U+2CBCE	𬯎	tuí	tuí	
U+2CCFF	𬳿	tú	tú	
U+2CD8D	𬶍	tuó	tuó	
