# Kranji phonic partition - initial: n
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 178
U+94D9	铙	náo	náo	
U+9518	锘	nuò	nuò	
U+954A	镊	niè	niè	
U+954D	镍	niè	niè	
U+954E	镎	ná	ná	
U+95F9	闹	nào	nào	nào(186) nao(68)
U+9667	陧	niè	niè	
U+96BE	难	nán,nàn	nán	nán(795) nan(344) nàn(82)
U+9713	霓	ní	ní	
U+989E	颞	niè	niè	
U+9981	馁	něi	něi	
U+9995	馕	náng,nǎng	náng	
U+9A7D	驽	nú	nú	
U+9C87	鲇	nián	nián	
U+9CB5	鲵	ní	ní	
U+9E1F	鸟	niǎo	niǎo	niǎo(190)
U+9E91	麑	ní	ní	
U+9ECF	黏	nián	nián	nián(31)
U+9F10	鼐	nài	nài	
U+9F49	齉	nàng	nàng	
U+26C21	𦰡	nà,nuó	nà	
U+28E99	𨺙	nì	nì	
U+2B410	𫐐	ní	ní	
U+2B536	𫔶	niè	niè	
U+2B81C	𫠜	ní	ní	
U+2CAA9	𬪩	nóng	nóng	
