# Kranji phonic partition - initial: b
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 380
U+6B02	欂	bó	bó	
U+6B65	步	bù	bù	bù(1113)
U+6BA1	殡	bìn	bìn	
U+6BD4	比	bǐ	bǐ	bǐ(1774)
U+6BD5	毕	bì	bì	bì(149)
U+6BD6	毖	bì	bì	
U+6BD9	毙	bì	bì	bì(17)
U+6C74	汴	biàn	biàn	
U+6C98	沘	bǐ	bǐ	
U+6CE2	波	bō	bō	bō(114)
U+6CF5	泵	bèng	bèng	bèng(14)
U+6D5C	浜	bāng	bāng	
U+6D61	浡	bó	bó	
U+6E24	渤	bó	bó	
U+6E74	湴	bàn	bàn	
U+6ED7	滗	bì	bì	
U+6EE8	滨	bīn	bīn	bīn(11)
U+6FD2	濒	bīn	bīn	
U+6FDE	濞	bì	bì	
U+700C	瀌	biāo	biāo	
U+705E	灞	bà	bà	
U+70B3	炳	bǐng	bǐng	
U+7119	焙	bèi	bèi	
U+7172	煲	bāo	bāo	
U+7178	煸	biān	biān	
U+719B	熛	biāo	biāo	
U+7206	爆	bào	bào	bào(189)
U+7238	爸	bà	bà	bà(546) ba(429)
U+7248	版	bǎn	bǎn	bǎn(73)
U+7287	犇	bēn	bēn	
U+72C8	狈	bèi	bèi	bèi(13)
U+72F4	狴	bì	bì	
U+73A2	玢	bīn,fēn	bīn	
U+73A4	玤	bàng	bàng	
U+73BB	玻	bō	bō	bō(213)
U+73CC	珌	bì	bì	
U+73ED	班	bān	bān	bān(403)
U+742B	琫	běng	běng	
U+7432	琲	bèi	bèi	
U+74A7	璧	bì	bì	
U+74E3	瓣	bàn	bàn	bàn(37)
U+74FF	瓿	bù	bù	
U+750F	甏	bèng	bèng	
U+752D	甭	béng	béng	béng(35)
U+7540	畀	bì	bì	
U+755A	畚	běn	běn	
U+75A4	疤	bā	bā	
U+75C5	病	bìng	bìng	bìng(739)
U+75F9	痹	bì	bì	bì(10)
U+7622	瘢	bān	bān	
U+762A	瘪	biē,biě	biě	biě(13)
U+762D	瘭	biāo	biāo	
U+764D	癍	bān	bān	
U+767D	白	bái	bái	bái(1055) bai(329)
U+767E	百	bǎi	bǎi	bǎi(1559)
U+767F	癿	bié	bié	
U+7695	皕	bì	bì	
U+782D	砭	biān	biān	
U+7835	砵	bō	bō	
U+7891	碑	bēi	bēi	bēi(81)
U+789A	碚	bèi	bèi	
U+78A5	碥	biǎn	biǎn	
U+78A7	碧	bì	bì	bì(39)
U+78C5	磅	bàng,páng	bàng	bàng(17)
U+7934	礴	bó	bó	
U+794A	祊	bēng	bēng	
U+7980	禀	bǐng	bǐng	
U+79C9	秉	bǐng	bǐng	
U+79D5	秕	bǐ	bǐ	
U+7A17	稗	bài	bài	
U+7B06	笆	bā	bā	ba(15)
U+7B14	笔	bǐ	bǐ	bǐ(308)
U+7B28	笨	bèn	bèn	bèn(35)
U+7B3E	笾	biān	biān	
U+7B5A	筚	bì	bì	
U+7B85	箅	bì	bì	
U+7B94	箔	bó	bó	
U+7BE6	篦	bì	bì	
U+7C38	簸	bǒ,bò	bǒ	bǒ(18)
U+7C3F	簿	bù	bù	
U+7C91	粑	bā	bā	
U+7CD2	糒	bèi	bèi	
U+7ECA	绊	bàn	bàn	
U+7ED1	绑	bǎng	bǎng	bǎng(52)
U+7EF7	绷	bēng,běng,bèng	bēng	běng(18) bēng(12)
U+7F16	编	biān	biān	biān(215)
U+7F24	缤	bīn	bīn	
U+7F62	罢	bà,ba	bà	ba(2073) bà(148)
U+7F93	羓	bā	bā	
U+8019	耙	bà,pá	bà	
U+80C8	胈	bá	bá	
U+80CC	背	bēi,bèi	bèi	bèi(433) bēi(72)
U+80DE	胞	bāo	bāo	bāo(116)
U+8116	脖	bó	bó	bó(73)
U+813F	脿	biǎo	biǎo	
U+8180	膀	bǎng,pāng,páng	bǎng	bǎng(182)
U+818A	膊	bó	bó	bo(45)
U+8191	膑	bìn	bìn	
U+8198	膘	biāo	biāo	
U+81C2	臂	bei,bì	bì	bì(66) bei(20)
U+822C	般	bān	bān	bān(564)
U+822D	舭	bǐ	bǐ	
U+8236	舶	bó	bó	bó(17)
U+8274	艴	bó	fú	
U+8298	芘	bǐ	bǐ	
U+82AD	芭	bā	bā	
U+82C4	苄	biàn	biàn	
U+82DE	苞	bāo	bāo	
U+82EF	苯	běn	běn	
U+82FE	苾	bì	bì	
U+835C	荜	bì	bì	
