# Kranji phonic partition - initial: g
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 345
U+6CBD	沽	gū	gū	
U+6CD4	泔	gān	gān	
U+6D38	洸	guāng	guāng	
U+6D6D	浭	gēng	gēng	
U+6DAB	涫	guàn	guàn	
U+6DE6	淦	gàn	gàn	
U+6E2F	港	gǎng	gǎng	gǎng(51)
U+6E89	溉	gài	gài	gài(75)
U+6EC6	滆	gé	gé	
U+6EDA	滚	gǔn	gǔn	gǔn(147)
U+6F89	澉	gǎn	gǎn	
U+7014	瀔	gǔ	gǔ	
U+704C	灌	guàn	guàn	guàn(141)
U+721F	爟	guàn	guàn	
U+726F	牯	gǔ	gǔ	
U+727F	牿	gù	gù	
U+72B7	犷	guǎng	guǎng	
U+72D7	狗	gǒu	gǒu	gǒu(216)
U+7395	玕	gān	gān	
U+73D6	珖	guāng	guāng	
U+73D9	珙	gǒng	gǒng	
U+73EA	珪	guī	guī	
U+742F	琯	guǎn	guǎn	
U+7470	瑰	guī	guī	
U+74D8	瓘	guàn	guàn	
U+74DC	瓜	guā	guā	guā(136)
U+7518	甘	gān	gān	gān(42)
U+7599	疙	gē	gē	gē(17)
U+75B3	疳	gān	gān	
U+75FC	痼	gù	gù	
U+7678	癸	guǐ	guǐ	
U+7688	皈	guī	guī	
U+768B	皋	gāo	gāo	
U+76D6	盖	gài,gě	gài	gài(227) gai(10)
U+76E5	盥	guàn	guàn	
U+777E	睾	gāo	gāo	
U+77BD	瞽	gǔ	gǔ	
U+77F8	矸	gān	gān	
U+77FC	矼	gāng	gāng	
U+7845	硅	guī	guī	guī(14)
U+784C	硌	gè	gè	
U+7854	硔	gǒng	hóng	
U+78D9	磙	gǔn	gǔn	
U+797C	祼	guàn	guàn	
U+79C6	秆	gǎn	gǎn	gǎn(12)
U+7A3F	稿	gǎo	gǎo	gǎo(64)
U+7AFF	竿	gān	gān	gān(30)
U+7B31	笱	gǒu	gǒu	
U+7B40	筀	guì	guì	
U+7B66	筦	guǎn	guǎn	
U+7B76	筶	gào	gào	
U+7B7B	筻	gàng	gàng	
U+7B8D	箍	gū	gū	
U+7BA1	管	guǎn	guǎn	guǎn(981)
U+7BD9	篙	gāo	gāo	
U+7BDD	篝	gōu	gōu	
U+7C0B	簋	guǐ	guǐ	
U+7CBF	粿	guǒ	guǒ	
U+7CD5	糕	gāo	gāo	gāo(18)
U+7EB2	纲	gāng	gāng	gāng(83)
U+7EC0	绀	gàn	gàn	
U+7ED9	给	gěi,jǐ	gěi	gěi(2860) jǐ(80)
U+7EE0	绠	gěng	gěng	
U+7EF2	绲	gǔn	gǔn	
U+7F11	缑	gōu	gōu	
U+7F1F	缟	gǎo	gǎo	
U+7F38	缸	gāng	gāng	gāng(38)
U+7F50	罐	guàn	guàn	guàn(40)
U+7F5F	罟	gǔ	gǔ	
U+7F61	罡	gāng	gāng	
U+7F94	羔	gāo	gāo	gāo(10)
U+7F96	羖	gǔ	gǔ	
U+7FB9	羹	gēng	gēng	
U+8007	耇	gǒu	gǒu	
U+8015	耕	gēng	gēng	gēng(55)
U+803F	耿	gěng	gěng	
U+8052	聒	guō	guō	
U+809B	肛	gāng	gāng	
U+809D	肝	gān	gān	gān(56)
U+80A1	股	gǔ	gǔ	gǔ(187) gu(33)
U+80B1	肱	gōng	gōng	
U+80CD	胍	guā	guā	
U+80F1	胱	guāng	guāng	
U+80F3	胳	gē,gé	gē	gē(65)
U+8158	腘	guó	guó	
U+8188	膈	gé	gé	
U+818F	膏	gāo,gào	gāo	gāo(21)
U+81CC	臌	gǔ	gǔ	
U+8238	舸	gě	gě	
U+826E	艮	gěn,gèn	gěn	
U+82DF	苟	gǒu	gǒu	
U+82F7	苷	gān	gān	
U+831B	茛	gèn	gèn	
U+8344	荄	gāi	gāi	
U+839E	莞	guǎn,wǎn	guǎn	
U+83C7	菇	gū	gū	gu(12)
U+83F0	菰	gū	gū	
U+845B	葛	gé,gě	gé	
U+8484	蒄	guān	guān	
U+84C7	蓇	gū	gū	
U+85C1	藁	gǎo	gǎo	
U+8662	虢	guó	guó	
U+867C	虼	gè	gè	
U+86A3	蚣	gōng	gōng	gong(11)
U+86C4	蛄	gū,gǔ	gū	
U+86CA	蛊	gǔ	gǔ	
U+873E	蜾	guǒ	guǒ	
U+8748	蝈	guō	guō	
U+886E	衮	gǔn	gǔn	
U+88BC	袼	gē	gē	
U+88F9	裹	guǒ	guǒ	guǒ(46)
U+8902	褂	guà	guà	guà(15)
U+89C2	观	guān,guàn	guān	guān(1031)
U+89C4	规	guī	guī	guī(752)
U+89CF	觏	gòu	gòu	
U+89DA	觚	gū	gū	
U+89E5	觥	gōng	gōng	
U+8BC2	诂	gǔ	gǔ	
U+8BD6	诖	guà	guà	
U+8BDF	诟	gòu	gòu	
U+8BE1	诡	guǐ	guǐ	guǐ(15)
U+8BE5	该	gāi	gāi	gāi(1057)
U+8BF0	诰	gào	gào	
U+8C37	谷	gǔ	gǔ	gǔ(145)
U+8D21	贡	gòng	gòng	gòng(97)
U+8D2D	购	gòu	gòu	gòu(41)
U+8D2F	贯	guàn	guàn	guàn(91)
U+8D35	贵	guì	guì	guì(180)
U+8D45	赅	gāi	gāi	
U+8D53	赓	gēng	gēng	
U+8D63	赣	gàn	gàn	
U+8D76	赶	gǎn	gǎn	gǎn(681)
U+8DDF	跟	gēn	gēn	gēn(1534)
U+8DEA	跪	guì	guì	guì(55)
U+8EAC	躬	gōng	gōng	gōng(22)
U+8F68	轨	guǐ	guǐ	guǐ(72)
U+8F71	轱	gū	gū	
U+8F8A	辊	gǔn	gǔn	
