# Kranji phonic partition - initial: ch
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 354
U+6668	晨	chén	chén	chen(124) chén(28)
U+671D	朝	cháo,zhāo	cháo	cháo(296) zhāo(10)
U+6748	杈	chā,chà	chā	
U+6775	杵	chǔ	chǔ	
U+677B	杻	chǒu,niǔ	chǒu	
U+67A8	枨	chéng	chéng	
U+67E5	查	chá,zhā	chá	chá(470)
U+67F4	柴	chái	chái	chái(156)
U+67FD	柽	chēng	chēng	
U+68A3	梣	chén,qín	chén	
U+68B4	梴	chān	chān	
U+68F0	棰	chuí	chuí	
U+6906	椆	chóu	chóu	
U+693D	椽	chuán	chuán	
U+693F	椿	chūn	chūn	
U+695A	楚	chǔ	chǔ	chu(279)
U+696E	楮	chǔ	chǔ	
U+6987	榇	chèn	chèn	
U+69CC	槌	chuí	chuí	
U+69CE	槎	chá	chá	
U+6A17	樗	chū	chū	
U+6A59	橙	chéng	chéng	
U+6A71	橱	chú	chú	
U+6AAB	檫	chá	chá	
U+6C05	氅	chǎng	chǎng	
U+6C1A	氚	chuān	chuān	
U+6C4A	汊	chà	chà	
U+6C60	池	chí	chí	chí(72)
U+6C89	沉	chén	chén	chén(422) chēn(24)
U+6D50	浐	chǎn	chǎn	
U+6DF3	淳	chún	chún	chún(16)
U+6EC1	滁	chú	chú	
U+6F26	漦	chí	chí	
U+6F34	漴	chóng,shuāng	chóng	
U+6F6E	潮	cháo	cháo	cháo(151)
U+6F7A	潺	chán	chán	
U+6F82	澂	chéng	chéng	
U+6F84	澄	chéng,dèng	chéng	
U+6F88	澈	chè	chè	
U+6FB6	澶	chán	chán	
U+6FCB	濋	chǔ	chǔ	
U+700D	瀍	chán	chán	
U+708A	炊	chuī	chuī	chuī(12)
U+7092	炒	chǎo	chǎo	chǎo(22)
U+70BD	炽	chì	chì	
U+712F	焯	chāo	chāo	
U+7141	煁	chén	chén	
U+725A	牚	chèng	chèng	
U+72A8	犨	chōu	chōu	
U+7316	猖	chāng	chāng	
U+7339	猹	chá	chá	
U+73EB	珫	chōng	chōng	
U+73F5	珵	chéng	chéng	
U+73F9	珹	chéng	chéng	
U+741B	琛	chēn	chēn	
U+7421	琡	chù	chù	
U+7424	琤	chēng	chēng	
U+7443	瑃	chūn	chūn	
U+74FB	瓻	chī	chī	
U+7545	畅	chàng	chàng	chàng(18)
U+755C	畜	chù,xù	chù	chù(21) xù(14)
U+7574	畴	chóu	chóu	
U+75A2	疢	chèn	chèn	
U+75AE	疮	chuāng	chuāng	
U+75D3	痓	chì	chì	
U+75F4	痴	chī	chī	
U+761B	瘛	chì	chì	
U+7625	瘥	chài	chài	
U+7633	瘳	chōu	chōu	
U+7735	眵	chī	chī	
U+7785	瞅	chǒu	chǒu	chǒu(34)
U+778B	瞋	chēn	chēn	
U+77A0	瞠	chēng	chēng	
U+77D7	矗	chù	chù	chù(14)
U+7817	砗	chē	chē	
U+7840	础	chǔ	chǔ	chǔ(400)
U+789C	碜	chěn	chěn	
U+78B4	碴	chā,chá	chá	
U+7985	禅	chán,shàn	chán	
U+79E4	秤	chèng	chèng	chèng(15)
U+79F0	称	chèn,chēng	chēng	chēng(318) chèn(20)
U+7A0B	程	chéng	chéng	chéng(830)
U+7A20	稠	chóu	chóu	chóu(8)
U+7A7F	穿	chuān	chuān	chuān(594)
U+7A97	窗	chuāng	chuāng	chuāng(372)
U+7B1E	笞	chī	chī	
U+7B79	筹	chóu	chóu	
U+7BEA	篪	chí	chí	
U+7EAF	纯	chún	chún	chún(133)
U+7ECC	绌	chù	chù	
U+7EF0	绰	chāo,chuò	chuò	
U+7EF8	绸	chóu	chóu	chóu(24)
U+7F20	缠	chán	chán	chán(32)
U+7FBC	羼	chàn	chàn	
U+7FC0	翀	chōng	chōng	
U+7FC5	翅	chì	chì	chì(85)
U+8016	耖	chào	chào	
U+803B	耻	chǐ	chǐ	chǐ(36)
U+80A0	肠	cháng	cháng	cháng(82)
U+80E3	胣	chǐ	chǐ	
U+81E3	臣	chén	chén	chén(15)
U+81ED	臭	chòu,xiù	chòu	chòu(72)
U+8202	舂	chōng	chōng	
U+821B	舛	chuǎn	chuǎn	
U+8239	船	chuán	chuán	chuán(923)
U+825F	艟	chōng	chōng	
U+82CC	苌	cháng	cháng	
U+830C	茌	chí	chí	
U+831D	茝	chǎi	chǎi	
U+832C	茬	chá	chá	
U+8336	茶	chá	chá	chá(194)
U+833A	茺	chōng	chōng	
U+83BC	莼	chún	chún	
U+83D6	菖	chāng	chāng	
U+8487	蒇	chǎn	chǎn	
U+866B	虫	chóng	chóng	chóng(553)
U+867F	虿	chài	chài	
U+86A9	蚩	chī	chī	chī(20)
U+86CF	蛏	chēng	chēng	
U+870D	蜍	chú	chú	
U+8749	蝉	chán	chán	chán(48)
U+877D	蝽	chūn	chūn	
U+87AD	螭	chī	chī	
U+87FE	蟾	chán	chán	
U+8822	蠢	chǔn	chǔn	
U+8869	衩	chǎ,chà	chǎ	
U+886C	衬	chèn	chèn	chèn(46)
U+88CE	裎	chéng,chěng	chéng	
U+891A	褚	chǔ	chǔ	
U+892B	褫	chǐ	chǐ	
U+895C	襜	chān	chān	
U+89C7	觇	chān	chān	
U+89E6	触	chù	chù	chù(120)
