# Kranji phonic partition - initial: x
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 510
U+631F	挟	xié	xié	xié(11)
U+6326	挦	xián	xián	
U+6380	掀	xiān	xiān	xiān(66)
U+63F3	揳	xiē	xiē	
U+643A	携	xié	xié	xié(18)
U+64B7	撷	xié	xié	
U+64E4	擤	xǐng	xǐng	
U+6548	效	xiào	xiào	xiào(283)
U+6569	敩	xiào	xiào	
U+659C	斜	xié	xié	xié(96)
U+65B0	新	xīn	xīn	xīn(1919)
U+65CB	旋	xuán,xuàn	xuán	xuán(107)
U+65EC	旬	xún	xún	xún(25)
U+65ED	旭	xù	xù	
U+65F4	旴	xū	xū	
U+6614	昔	xī	xī	
U+6615	昕	xīn	xīn	
U+661F	星	xīng	xīng	xīng(564)
U+6621	昡	xuàn	xuàn	
U+662B	昫	xù	xù	
U+663E	显	xiǎn	xiǎn	xiǎn(503)
U+6645	晅	xuǎn	xuǎn	
U+6653	晓	xiǎo	xiǎo	xiǎo(83)
U+665E	晞	xī	xī	
U+6670	晰	xī	xī	xī(37)
U+6684	暄	xuān	xuān	xuān(12)
U+6687	暇	xiá	xiá	
U+66B6	暶	xuán	xuán	
U+66B9	暹	xiān	xiān	
U+66BF	暿	xī	xī	
U+66DB	曛	xūn	xūn	
U+66E6	曦	xī	xī	
U+673D	朽	xiǔ	xiǔ	xiǔ(42)
U+674F	杏	xìng	xìng	
U+6790	析	xī	xī	xī(140)
U+67AD	枭	xiāo	xiāo	
U+67B2	枲	xǐ	xǐ	
U+67B5	枵	xiāo	xiāo	
U+67D9	柙	xiá	xiá	
U+6812	栒	xún	xún	
U+6821	校	jiào,xiào	xiào	xiào(428)
U+6829	栩	xǔ	xǔ	
U+68B0	械	xiè	xiè	xiè(174)
U+6954	楔	xiē	xiē	
U+6966	楦	xuàn	xuàn	
U+698D	榍	xiè	xiè	
U+69AD	榭	xiè	xiè	
U+6A28	樨	xī	xī	
U+6A61	橡	xiàng	xiàng	xiàng(29)
U+6A84	檄	xí	xí	
U+6B23	欣	xīn	xīn	xīn(63)
U+6B3B	欻	xū	xū	
U+6B46	歆	xīn	xīn	
U+6B47	歇	xiē	xiē	xiē(84)
U+6B89	殉	xùn	xùn	
U+6C19	氙	xiān	xiān	
U+6C50	汐	xī	xī	
U+6C5B	汛	xùn	xùn	xùn(12)
U+6C79	汹	xiōng	xiōng	xiōng(30)
U+6CC4	泄	xiè	xiè	xiè(10)
U+6CEB	泫	xuàn	xuàn	
U+6CFB	泻	xiè	xiè	
U+6D17	洗	xǐ,xiǎn	xǐ	xǐ(288)
U+6D28	洨	xiáo	xiáo	
U+6D2B	洫	xù	xù	
U+6D35	洵	xún	xún	
U+6D54	浔	xún	xún	
U+6D60	浠	xī	xī	
U+6D88	消	xiāo	xiāo	xiāo(708)
U+6D8D	涍	xiào	xiào	
U+6D8E	涎	xián	xián	
U+6DC5	淅	xī	xī	
U+6DC6	淆	xiáo	xiáo	
U+6E2B	渫	xiè	xiè	
U+6E32	渲	xuàn	xuàn	
U+6E51	湑	xù	xū	
U+6E58	湘	xiāng	xiāng	
U+6E86	溆	xù	xù	
U+6EAA	溪	xī	xī	xī(40)
U+6EB4	溴	xiù	xiù	
U+6EE7	滧	xiào	yáo	
U+6EEB	滫	xiǔ	xiǔ	
U+6F29	漩	xuán	xuán	xuán(15)
U+6F47	潇	xiāo	xiāo	
U+6F5F	潟	xì	xì	
U+6FA5	澥	xiè	xiè	
U+7023	瀣	xiè	xiè	
U+7098	炘	xīn	xīn	
U+70AB	炫	xuàn	xuàn	
U+70DC	烜	xuǎn	xuǎn	
U+70EF	烯	xī	xī	
U+714A	煊	xuān	xuān	
U+714B	煋	xīng	xīng	
U+7166	煦	xù	xù	
U+7184	熄	xī	xī	xī(36)
U+718A	熊	xióng	xióng	xióng(41)
U+718F	熏	xūn	xūn	xūn(19)
U+7199	熙	xī	xī	
U+71B9	熹	xī	xī	
U+71BB	熻	xī	xī	
U+71EE	燮	xiè	xiè	
U+71F9	燹	xiǎn	xiǎn	
U+7214	爔	xī	xī	
U+727A	牺	xī	xī	xī(103)
U+7280	犀	xī	xī	xī(13)
U+72CE	狎	xiá	xiá	
U+72DD	狝	xiǎn	xiǎn	
U+72ED	狭	xiá	xiá	xiá(31)
U+7303	猃	xiǎn	xiǎn	
U+7307	猇	xiāo	xiāo	
U+7329	猩	xīng	xīng	xīng(13) xing(13)
U+732E	献	xiàn	xiàn	xiàn(179)
U+736C	獬	xiè	xiè	
U+736F	獯	xūn	xūn	
U+7384	玄	xuán	xuán	
U+73B0	现	xiàn	xiàn	xiàn(3900)
U+73B9	玹	xuán	xuán	
U+73BA	玺	xǐ	xǐ	
U+73DB	珛	xiù	xiù	
U+73DD	珝	xǔ	xǔ	
U+73E3	珣	xún	xún	
U+73E6	珦	xiàng	xiàng	
U+7404	琄	xuàn	xuàn	
U+7407	琇	xiù	xiù	
U+7444	瑄	xuān	xuān	
U+7446	瑆	xīng	xīng	
U+7455	瑕	xiá	xiá	
U+7487	璇	xuán	xuán	
U+74D6	瓖	xiāng	xiāng	
U+75C3	痃	xuán	xuán	
U+75EB	痫	xián	xián	
U+7663	癣	xuǎn	xuǎn	
U+7699	皙	xī	xī	
U+769B	皛	xiǎo	xiǎo	
