# Kranji phonic partition - initial: j
# Source: Unihan_Readings.txt, Unicode 17.0.0 (c) Unicode, Inc. - fields kTGHZ2013, kMandarin, kHanyuPinlu
# Universe: the 8,105 characters of the Table of General Standard
# Chinese Characters. A character is filed under its principal reading,
# so it appears in exactly one partition.
# Columns: codepoint	glyph	readings	mandarin	frequency
# Generated by PhonicPartitionMain - do not edit by hand.
# Characters: 629
U+5CE4	峤	jiào,qiáo	jiào	
U+5CE7	峧	jiāo	jiāo	
U+5CFB	峻	jùn	jùn	jùn(12)
U+5D0C	崌	jū	jū	
U+5D1B	崛	jué	jué	
U+5D47	嵇	jī	jī	
U+5D74	嵴	jí	jǐ	
U+5DE8	巨	jù	jù	jù(332)
U+5DF1	己	jǐ	jǐ	jǐ(2585)
U+5DFE	巾	jīn	jīn	jīn(86)
U+5ED1	廑	jǐn	jǐn	
U+5EFA	建	jiàn	jiàn	jiàn(1732)
U+5F06	弆	jǔ	jǔ	
U+5F36	弶	jiàng	jiàng	
U+5F84	径	jìng	jìng	jìng(69)
U+5F9B	徛	jì	jì	
U+5FBC	徼	jiào	jiào	
U+5FCC	忌	jì	jì	
U+6025	急	jí	jí	jí(621)
U+6054	恔	jiǎo	jiǎo	
U+605D	恝	jiá	jiá	
U+6088	悈	jiè	jiè	
U+60B8	悸	jì	jì	
U+60CA	惊	jīng	jīng	jīng(425)
U+60CE	惎	jì	jì	
U+60E7	惧	jù	jù	jù(16)
U+61AC	憬	jǐng	jǐng	jǐng(10)
U+620B	戋	jiān	jiān	
U+6212	戒	jiè	jiè	jiè(42)
U+621B	戛	gā,jiá	jiá	
U+621F	戟	jǐ	jǐ	
U+6222	戢	jí	jí	
U+622A	截	jié	jié	jié(53)
U+622C	戬	jiǎn	jiǎn	
U+6243	扃	jiōng	jiōng	
U+6280	技	jì	jì	jì(712)
U+6289	抉	jué	jué	
U+62D2	拒	jù	jù	jù(59)
U+62D8	拘	jū	jū	jū(18)
U+62E3	拣	jiǎn	jiǎn	jiǎn(84)
U+62EE	拮	jié	jié	
U+6324	挤	jǐ	jǐ	jǐ(172)
U+6343	捃	jùn	jùn	
U+6350	捐	juān	juān	juān(15)
U+6361	捡	jiǎn	jiǎn	jiǎn(26)
U+636E	据	jū,jù	jù	jù(805)
U+6377	捷	jié	jié	jié(20)
U+638E	掎	jǐ	jǐ	
U+6398	掘	jué	jué	jué(11)
U+63A5	接	jiē	jiē	jiē(1295)
U+63AC	掬	jū	jū	
U+63EA	揪	jiū	jiū	jiū(37)
U+63ED	揭	jiē	jiē	jiē(118)
U+6405	搅	jiǎo	jiǎo	jiǎo(41)
U+641B	搛	jiān	jiān	
U+6485	撅	juē	juē	juē(16)
U+652B	攫	jué	jué	
U+6551	救	jiù	jiù	jiù(216)
U+6559	教	jiāo,jiào	jiào	jiào(1326) jiāo(155)
U+656B	敫	jiǎo	jiǎo	
U+656C	敬	jìng	jìng	jìng(96)
U+659D	斝	jiǎ	jiǎ	
U+65A0	斠	jiào	jiào	
U+65A4	斤	jīn	jīn	jīn(317)
U+65CC	旌	jīng	jīng	
U+65E2	既	jì	jì	jì(308)
U+65E7	旧	jiù	jiù	jiù(479)
U+664B	晋	jìn	jìn	
U+6659	晙	jùn	jùn	
U+666F	景	jǐng	jǐng	jǐng(303)
U+6676	晶	jīng	jīng	jīng(57)
U+6695	暕	jiǎn	jiǎn	
U+66A8	暨	jì	jì	
U+673A	机	jī	jī	jī(2563)
U+6770	杰	jié	jié	jié(25)
U+6781	极	jí	jí	jí(911)
U+6785	枅	jī	jī	
U+67A7	枧	jiǎn	jiǎn	
U+67B6	架	jià	jià	jià(317)
U+67B7	枷	jiā	jiā	
U+67E9	柩	jiù	jiù	
U+67EC	柬	jiǎn	jiǎn	
U+6840	桀	jié	jié	
U+684A	桊	juàn	juàn	
U+6854	桔	jié	jié	jú(11)
U+6855	桕	jiù	jiù	
U+6868	桨	jiǎng	jiǎng	jiǎng(16)
U+6877	桷	jué	jué	
U+68C0	检	jiǎn	jiǎn	jiǎn(337)
U+68D8	棘	jí	jí	
U+6910	椐	jū	jū	
U+6912	椒	jiāo	jiāo	jiāo(12)
U+6957	楗	jiàn	jiàn	
U+696B	楫	jí	jí	
U+6989	榉	jǔ	jǔ	
U+69DA	槚	jiǎ	jiǎ	
U+69FF	槿	jǐn	jǐn	
U+6A58	橘	jú	jú	jú(56)
U+6A5B	橛	jué	jué	
U+6A9E	檞	jiě	jiě	
U+6B7C	歼	jiān	jiān	jiān(96)
U+6B9B	殛	jí	jí	
U+6BA3	殣	jìn	jìn	
U+6BFD	毽	jiàn	jiàn	
U+6C3F	氿	jiǔ	jiǔ	
U+6C5F	江	jiāng	jiāng	jiāng(299)
U+6C6B	汫	jǐng	jǐng	
U+6C72	汲	jí	jí	
U+6CAE	沮	jǔ	jǔ	
U+6CC2	泂	jiǒng	jiǒng	
U+6CC3	泃	jū	jū	
U+6CC7	泇	jiā	jiā	
U+6CFE	泾	jīng	jīng	
U+6D01	洁	jié	jié	jié(86)
U+6D0E	洎	jì	jì	
U+6D1A	洚	jiàng	jiàng	
U+6D25	津	jīn	jīn	jīn(20)
U+6D43	浃	jiā	jiā	
U+6D46	浆	jiāng,jiàng	jiāng	jiāng(17)
U+6D47	浇	jiāo	jiāo	jiāo(58)
U+6D4E	济	jǐ,jì	jì	jì(1008)
U+6D55	浕	jìn	jìn	
U+6D5A	浚	jùn,xùn	jùn	
U+6D78	浸	jìn	jìn	jìn(51)
U+6D93	涓	juān	juān	
U+6DA7	涧	jiàn	jiàn	
U+6E10	渐	jiàn	jiàn	jiàn(459)
U+6E54	湔	jiān	jiān	
U+6E5D	湝	jiē	jiē	
U+6E6B	湫	jiǎo,qiū	jiǎo	
U+6E85	溅	jiàn	jiàn	jiàn(23)
U+6E8D	溍	jìn	jìn	
U+6ED8	滘	jiào	jiào	
U+6F08	漈	jì	jì	
U+6F16	漖	jiào	jiào	
U+6FBD	澽	jù	jù	
U+6FC0	激	jī	jī	jī(407) ji(49)
U+7031	瀱	jì	jì	
U+7078	灸	jiǔ	jiǔ	
U+7085	炅	guì,jiǒng	jiǒng	
U+70AC	炬	jù	jù	
U+70AF	炯	jiǒng	jiǒng	jiǒng(28)
U+70EC	烬	jìn	jìn	
U+7106	焆	juān	juān	
U+710C	焌	jùn,qū	jùn	
U+7117	焗	jú	jú	
U+7126	焦	jiāo	jiāo	jiāo(80)
U+714E	煎	jiān	jiān	jiān(22)
U+71CB	燋	jiāo	jiāo	
U+721D	爝	jué	jué	
U+7235	爵	jué	jué	
U+726E	牮	jiàn	jiàn	
U+7284	犄	jī	jī	
U+728B	犋	jù	jù	
U+728D	犍	jiān,qián	jiān	
U+729F	犟	jiàng	jiàng	
U+72D9	狙	jū	jū	
U+72E1	狡	jiǎo	jiǎo	jiǎo(20)
U+72F7	狷	juàn	juàn	
U+7304	猄	jīng	jīng	
U+734D	獍	jìng	jìng	
U+7357	獗	jué	jué	
U+7383	玃	jué	jué	
U+7391	玑	jī	jī	
U+7396	玖	jiǔ	jiǔ	
U+73A0	玠	jiè	jiè	
U+73A6	玦	jué	jué	
U+73C8	珈	jiā	jiā	
U+73CF	珏	jué	jué	
U+73D2	珒	jīn	jīn	
U+73FA	珺	jùn	jùn	
U+740E	琎	jìn	jìn	
U+741A	琚	jū	jū	
U+7468	瑨	jìn	jìn	
U+747E	瑾	jǐn	jǐn	
U+749F	璟	jǐng	jǐng	
U+74A5	璥	jǐng	jǐng	
U+74AC	璬	jiǎo	jiǎo	
U+7532	甲	jiǎ	jiǎ	jiǎ(92) jia(15)
U+754C	界	jiè	jiè	jiè(1312)
U+756F	畯	jùn	jùn	
U+7578	畸	jī	jī	
U+757F	畿	jī	jī	
U+7586	疆	jiāng	jiāng	jiāng(14)
U+7596	疖	jiē	jiē	
U+759A	疚	jiù	jiù	
U+75A5	疥	jiè	jiè	
U+75BD	疽	jū	jū	
U+75BE	疾	jí	jí	jí(44)
U+75C2	痂	jiā	jiā	
U+75C9	痉	jìng	jìng	
U+7615	瘕	jiǎ	jiǎ	
U+7620	瘠	jí	jí	
U+7686	皆	jiē	jiē	jiē(10)
U+768E	皎	jiǎo	jiǎo	
U+76A6	皦	jiǎo	jiǎo	
U+76AD	皭	jiào	jiào	
U+76B2	皲	jūn	jūn	
U+76D1	监	jiān,jiàn	jiān	jiān(115)
U+7737	眷	juàn	juàn	
U+7751	睑	jiǎn	jiǎn	
U+775B	睛	jīng	jīng	jing(707) jīng(16)
U+776B	睫	jié	jié	jié(12)
U+77CD	矍	jué	jué	
U+77DC	矜	jīn	jīn	
U+77E9	矩	jǔ	jǔ	ju(29)
U+77EB	矫	jiáo,jiǎo	jiǎo	
U+77F6	矶	jī	jī	
U+7804	砄	jué	jué	
U+7820	砠	jū	jū	
U+78A3	碣	jié	jié	
U+78B1	碱	jiǎn	jiǎn	jiǎn(31)
U+7901	礁	jiāo	jiāo	
U+7913	礓	jiāng	jiāng	
U+796D	祭	jì,zhài	jì	
U+7972	祲	jìn	jìn	
U+7981	禁	jīn,jìn	jìn	jìn(78) jīn(64)
U+79EC	秬	jù	jù	
U+79EF	积	jī	jī	jī(562)
U+79F8	秸	jiē	jiē	
U+7A37	稷	jì	jì	
U+7A3C	稼	jià	jià	jia(118)
U+7A3D	稽	jī	jī	
U+7A44	穄	jì	jì	
U+7A76	究	jiū	jiū	jiū(1138) jiu(41)
U+7A96	窖	jiào	jiào	jiào(12)
U+7A98	窘	jiǒng	jiǒng	
U+7AAD	窭	jù	jù	
U+7ADE	竞	jìng	jìng	jìng(79)
U+7ADF	竟	jìng	jìng	jìng(392)
U+7AE3	竣	jùn	jùn	
U+7AEB	竫	jìng	jìng	
U+7AED	竭	jié	jié	jié(27)
U+7B04	笄	jī	jī	
U+7B08	笈	jí	jí	
U+7B15	笕	jiǎn	jiǎn	
U+7B33	笳	jiā	jiā	
U+7B3A	笺	jiān	jiān	
U+7B4B	筋	jīn	jīn	jīn(60)
U+7B65	筥	jǔ	jǔ	
U+7B80	简	jiǎn	jiǎn	jiǎn(431)
U+7B95	箕	jī	jī	
U+7BAD	箭	jiàn	jiàn	jiàn(87)
U+7BEF	篯	jiān	jiān	
U+7C4D	籍	jí	jí	jí(35)
U+7CB3	粳	jīng	jīng	
U+7CBE	精	jīng	jīng	jīng(664)
U+7CE8	糨	jiàng	jiàng	
U+7D27	紧	jǐn	jǐn	jǐn(897)
U+7D5C	絜	jié,xié	jié	
U+7EA0	纠	jiū	jiū	jiū(68)
U+7EA7	级	jí	jí	jí(2047)
U+7EAA	纪	jǐ,jì	jì	jì(467)
U+7ECF	经	jīng,jìng	jīng	jīng(2854) jing(1342)
U+7ED3	结	jiē,jié	jié	jié(1419) jiē(91)
U+7EDB	绛	jiàng	jiàng	
U+7EDD	绝	jué	jué	jué(294)
U+7EDE	绞	jiǎo	jiǎo	
U+7EE2	绢	juàn	juàn	juàn(18)
U+7EE7	继	jì	jì	jì(405)
U+7EE9	绩	jì	jì	jī(132)
U+7F04	缄	jiān	jiān	
U+7F09	缉	jī,qī	jī	
U+7F19	缙	jìn	jìn	
U+7F23	缣	jiān	jiān	
U+7F30	缰	jiāng	jiāng	jiāng(17)
U+7F34	缴	jiǎo	jiǎo	jiǎo(17)
U+7F7D	罽	jì	jì	
U+7F81	羁	jī	jī	
U+7FAF	羯	jié	jié	
U+7FE6	翦	jiǎn	jiǎn	
U+8024	耤	jí	jí	
U+8029	耩	jiǎng	jiǎng	
